MethodicId;TubeNumber;ChanelName;MethodicName;Status;MethodicSteps;Data
83d7d2ba-2f43-4978-90f5-f68a7511db6c;19.;FAM;Ct (1-20) 281019 Br;Сомнительно отрицательный;45.;[2595.073 2557.146 2548.104 2548.427 2543.115 2549.094 2547.208 2538.979 2543.302 2541.365 2545.281 2541.229 2538.313 2536.156 2539.781 2537.292 2540.573 2537.458 2538.99 2536.781 2536.438 2538.427 2538.042 2536.625 2538.906 2538.135 2536.313 2538.667 2540.208 2546.094 2559.052 2572.479 2586.99 2597.615 2607.583 2611.958 2615.958 2615.51 2620.344 2617.823 2622.063 2624.75 2622.792 2619.177 2623.917]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;19.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2215.854 2201.354 2198.76 2200.781 2196.188 2197.479 2202.729 2194.896 2195.688 2197.292 2196.344 2197.167 2196.104 2194.177 2195.01 2195.052 2197.594 2196.75 2197.156 2193.49 2200.875 2195.177 2201.208 2201.25 2211.677 2225.917 2246.406 2294.708 2379.979 2527.865 2753.229 3048.927 3367.979 3647.135 3858.969 3992.01 4082 4119.188 4148 4155.385 4163.448 4168.875 4169.365 4169.396 4168.156]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;19.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2064.969 2059.719 2056.823 2059.229 2058.396 2060.906 2061.031 2063.25 2059.073 2060.021 2059.5 2059.104 2062.625 2059.771 2062.917 2060.896 2063.615 2058.125 2059.354 2058.854 2063.417 2062.99 2065.771 2063.969 2060.792 2060.74 2065.375 2067.552 2068.219 2063.104 2066.583 2067.385 2068.573 2072.438 2072.49 2081.813 2081.5 2079.438 2086.688 2086.385 2085.531 2089.688 2090.74 2092.073 2088.896]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;19.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2354.396 2313.01 2308.406 2311.229 2309.76 2312.01 2310.729 2313.344 2313.323 2311.438 2313.438 2318.698 2312.167 2316.802 2314.083 2314.49 2312.146 2319.417 2313.031 2317.885 2310.844 2316.271 2322.104 2318.208 2318.865 2319.542 2320.063 2319.938 2324.594 2320.115 2329.333 2338.51 2359.573 2390.813 2445.021 2498.073 2546.302 2592.24 2636.156 2674.792 2708.76 2736.115 2752.958 2767.854 2780.531]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;19.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3379.333 3263.646 3245.5 3253.135 3247.302 3249.188 3246.271 3241.958 3244.865 3246.667 3242.177 3240.708 3244.031 3247.479 3248.594 3244.333 3250.156 3245.094 3242.615 3245.896 3243.135 3241.729 3246.156 3249.229 3247.594 3245.063 3247.177 3252.927 3245.604 3245.458 3244.49 3250.927 3255.719 3259.385 3264.938 3271.438 3281.458 3284.229 3291.542 3296.948 3302.823 3302.115 3305.646 3309.875 3309.031]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;20.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2645.094 2605.802 2564.615 2572.625 2579.375 2570.073 2566.781 2570.771 2570.021 2572.188 2569.333 2569.729 2570.323 2569.344 2567.396 2572.135 2568.708 2576.198 2567.427 2570.406 2571.323 2569.635 2572.042 2572.885 2572.604 2572.094 2569.563 2572.177 2575.823 2573.885 2577.719 2572.479 2570.25 2571.667 2572.427 2572.385 2579.615 2578.896 2570.385 2571.865 2575.646 2573.573 2572.531 2579.188 2573.438]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;20.;HEX;Ct (1-20) 281019 Br;Отрицательный;45.;[2221.74 2209.594 2197.521 2195.865 2197.438 2194.542 2197.448 2195.74 2197.698 2196.781 2193.24 2197.25 2195.375 2195.094 2199.677 2199.26 2201.833 2196.552 2200.323 2199.865 2200.854 2200.792 2199.938 2200.167 2203.781 2205.885 2201.823 2204.719 2202.302 2203.458 2203.656 2206.26 2204.865 2204.844 2206.917 2206.25 2208.302 2204.208 2205.438 2202.656 2204.073 2208.125 2206.229 2207.76 2205.896]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;20.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2073.979 2064.833 2056.396 2060.052 2062.385 2059.531 2058.729 2060.854 2059.917 2061.01 2064.896 2062.75 2062.656 2061.615 2065.281 2063.281 2063.521 2066.135 2067.125 2066.823 2063.24 2064.813 2065.156 2065.979 2067.771 2067.552 2067.344 2069.063 2069.469 2065.302 2069.563 2070.313 2069.198 2072.469 2072.885 2078.646 2079.948 2086.229 2090.573 2089.854 2092.281 2092.5 2097.313 2097.938 2094.979]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;20.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2376.167 2345.75 2306.688 2309.5 2312.573 2310.813 2312.406 2317.01 2318.625 2320.083 2321.083 2319.198 2323.344 2324.365 2321.385 2324.177 2326.708 2327.604 2330.354 2324.781 2327.094 2327.208 2331.354 2327.583 2329.073 2332.01 2328.865 2336.979 2335.469 2340.042 2345.688 2357.542 2371.708 2407.969 2457.656 2532.198 2633.281 2749.104 2850.26 2917.125 2966.542 2997.354 3015.5 3025.156 3034.875]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;20.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3476.385 3375.708 3274.104 3283.406 3289.5 3287.583 3293.156 3292.104 3294.865 3295.135 3297.344 3300.323 3301.729 3301.771 3303.156 3307.104 3305.573 3309.042 3308.5 3308.865 3309.042 3311.396 3316.531 3318.969 3318.031 3318.781 3320.719 3317.719 3320.677 3319.5 3325.677 3321.854 3326.656 3329.979 3338.167 3345.802 3362.833 3375.438 3392.021 3400.094 3404.573 3409.542 3413.823 3415.948 3419.396]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;21.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2563.49 2534.969 2519.906 2518.229 2518.688 2520.208 2520.156 2520.885 2517.885 2517.698 2518.385 2520.625 2514.854 2513.26 2518.396 2519.208 2520.542 2516.802 2516.771 2520.75 2516.271 2512.76 2517.938 2518.5 2524.344 2521.031 2520.344 2521.292 2522.073 2519.781 2525.292 2534.719 2546.177 2557.969 2568.313 2586.781 2590.052 2597.615 2600.917 2601.729 2604.156 2608.979 2608.875 2603.167 2604.469]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;21.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2199.177 2189.104 2180.438 2180.938 2185.583 2181.125 2182.823 2183.406 2183.646 2184.583 2183.833 2182.26 2185.458 2187.5 2186.344 2183.698 2184.208 2185.917 2184.938 2182.344 2184.865 2186.313 2184.625 2187.979 2189.844 2191.573 2200.677 2211.25 2235.74 2287.219 2372.302 2524.448 2750.25 3029.927 3329.375 3587.969 3780.083 3900.667 3974.615 4018.292 4029.167 4052.417 4056.844 4061.094 4061.448]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;21.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2055.906 2055.875 2051.958 2052.615 2051.844 2053.531 2054.823 2051.354 2053.156 2057.698 2054.01 2055.917 2054.01 2055.896 2055.802 2053.583 2054.76 2060.417 2058.5 2058.854 2059.5 2060.052 2061.99 2058.177 2061.052 2062.115 2058.625 2061.323 2061.406 2061.49 2060.875 2062.51 2066.771 2066.021 2069.271 2073.646 2075.135 2076.104 2083.854 2083.813 2086.542 2086.906 2089.49 2095.115 2091.677]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;21.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2314.948 2287.135 2266.396 2273.01 2274.083 2271.24 2272.583 2276.031 2276.219 2272.021 2276.302 2277.542 2279.052 2278.115 2280.115 2279.885 2279.896 2277.781 2279.198 2280.146 2279.948 2282.198 2283.573 2282.792 2284.01 2283.115 2288.583 2288.354 2286.469 2295.969 2294.073 2307.344 2318.667 2345.156 2395.813 2469.281 2555.938 2632.583 2690.344 2748.604 2813.458 2855.833 2890.604 2918.99 2944.198]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;21.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3322.625 3241.792 3190.958 3196.896 3200.563 3199.042 3199.573 3197.25 3201.24 3202.875 3201.313 3206.115 3205.927 3205.854 3206.5 3206.052 3204.552 3204.958 3204.26 3213.042 3212.625 3209.563 3209.76 3211.146 3213.99 3215.479 3216.448 3217.063 3221.781 3217.813 3220.021 3218.406 3227.656 3228.552 3232.313 3242.74 3261.542 3270.729 3281.406 3288.25 3290.979 3301.583 3303.688 3303.729 3308.24]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;22.;FAM;Ct (1-20) 281019 Br;Сомнительно отрицательный;45.;[2532.198 2520.052 2525.365 2533.208 2537.781 2536.802 2536.208 2536.844 2540.219 2540.458 2537.688 2537.802 2539.875 2540.448 2542.417 2543.031 2536.688 2545.76 2544.302 2542.677 2546.365 2543.552 2551.76 2558.813 2572.792 2587.063 2602.448 2610.938 2618.198 2629.156 2630.229 2632.188 2634.667 2629.188 2636.531 2633.385 2639.302 2636.406 2634.146 2634.76 2638.625 2635 2636.667 2636.854 2641.469]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;22.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2182.792 2179.219 2179.813 2183.708 2182.531 2183.365 2189.417 2184.385 2180.302 2181.771 2183.115 2186.094 2181.583 2187.479 2186.969 2185.031 2192.365 2194.833 2202.115 2214.271 2241.542 2290.802 2383.188 2542.271 2768.771 3061.771 3362.073 3622.302 3815.104 3934.833 4006.865 4050.667 4074.854 4081.083 4094.906 4094.271 4093.917 4098.896 4101.271 4100.292 4100.51 4105.156 4104.26 4102 4105.563]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;22.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2052.188 2055.26 2052.385 2050.188 2050.958 2059.156 2055.229 2056.708 2056.594 2056.5 2057.135 2056.927 2052.594 2054.188 2060.198 2061.24 2063.365 2061.469 2059.365 2058.813 2056.771 2064.125 2063.073 2065.073 2066.125 2063.792 2068.219 2066.167 2065.208 2070.417 2070.01 2072.292 2069.906 2071.385 2068.292 2073.74 2075.438 2075.24 2072.5 2073.75 2073.885 2077.25 2075.5 2075.813 2076.688]
